"gender","age","attitude","deep","stra","surf","points","interest","high_points"
"F",53,37,3.75,3.375,2.58333333333333,25,8,TRUE
"M",55,31,2.875,2.75,3.16666666666667,12,6,FALSE
"F",49,25,3.875,3.625,2.25,24,8,FALSE
"M",53,35,3.5,3.125,2.25,10,10,FALSE
"M",49,37,3.75,3.625,2.83333333333333,22,8,TRUE
"F",38,38,4.875,3.625,2.41666666666667,21,8,TRUE
"M",50,35,4.25,2.25,1.91666666666667,21,9,TRUE
"F",37,29,3.5,4,2.83333333333333,31,8,TRUE
"M",37,38,4.5,4.25,2.16666666666667,24,8,TRUE
"F",42,21,4,3.5,3,26,6,FALSE
"M",37,39,3.5,3.625,2.66666666666667,31,9,TRUE
"F",34,38,3.75,4.75,2.41666666666667,31,8,TRUE
"F",34,24,4.375,3.625,2.25,23,7,FALSE
"F",34,30,3.5,3.5,2.75,25,9,TRUE
"M",35,26,4.375,1.75,2.33333333333333,21,6,FALSE
"F",46,25,3.125,3.125,2.66666666666667,0,8,FALSE
"F",33,41,3.5,3.875,2.33333333333333,31,8,TRUE
"F",32,26,4.125,1.375,2.91666666666667,20,6,FALSE
"F",44,26,3.625,3.25,2.5,22,7,FALSE
"M",29,17,4,3,3.75,9,4,FALSE
"F",30,27,4.25,3.75,2.75,24,8,FALSE
"M",27,39,4,2.625,2.33333333333333,28,8,TRUE
"M",29,34,4,2.375,2.41666666666667,30,8,TRUE
"F",31,27,4.375,3.625,3,24,7,FALSE
"F",37,23,4,2.75,2.41666666666667,9,7,FALSE
"F",26,37,3.75,1.75,2.83333333333333,26,10,TRUE
"F",26,44,4.5,3.25,3.16666666666667,32,10,TRUE
"M",30,41,4.125,4,3,32,10,TRUE
"F",37,24,4,2.125,2.16666666666667,0,6,FALSE
"F",33,37,3.75,3.625,2,33,7,TRUE
"F",33,25,3.25,2.875,3.5,29,6,TRUE
"M",28,30,3.5,3,3.75,30,8,TRUE
"M",26,34,4.875,1.625,2.5,19,10,TRUE
"F",27,32,3.75,3.25,2.08333333333333,23,8,TRUE
"F",25,20,3.125,3.5,2.41666666666667,19,4,FALSE
"F",31,24,3.625,3,2.58333333333333,12,6,FALSE
"M",20,42,4.5,3.25,1.58333333333333,10,10,FALSE
"F",39,16,4.25,1.875,2.83333333333333,11,5,FALSE
"M",38,31,3.875,4.375,1.83333333333333,20,8,FALSE
"M",24,38,3.5,3.625,2.41666666666667,26,9,TRUE
"M",26,38,2.75,2.5,3.25,31,9,TRUE
"M",25,33,3.125,1.25,3.41666666666667,20,8,TRUE
"F",30,17,4.125,4,3.41666666666667,23,3,FALSE
"F",25,25,2.875,3,3.16666666666667,12,6,FALSE
"M",30,32,3.375,2.5,3.5,24,8,TRUE
"F",48,35,4.125,4.875,2.66666666666667,17,10,FALSE
"F",24,32,3.875,5,2.41666666666667,29,9,TRUE
"F",40,42,4.75,4.375,3.58333333333333,23,10,TRUE
"M",25,31,3.875,3.25,2.08333333333333,28,8,TRUE
"F",23,39,3.25,4,3.75,31,10,TRUE
"F",25,19,4.125,3.125,2.91666666666667,23,2,FALSE
"F",23,21,2.75,2.5,2.91666666666667,25,4,FALSE
"M",27,25,4.375,3.125,2.41666666666667,18,6,FALSE
"M",25,32,3.5,3.25,3,19,8,FALSE
"M",23,32,3,2.125,3.41666666666667,22,4,TRUE
"F",23,26,4.125,2.75,2.91666666666667,25,7,FALSE
"F",23,23,3.125,2.375,3.25,21,5,FALSE
"F",45,38,3.625,3.125,3.25,9,10,FALSE
"F",22,28,4.125,4,2.33333333333333,28,4,TRUE
"F",23,33,3,4,3.25,25,5,TRUE
"M",21,48,3.5,2.25,2.5,29,10,TRUE
"M",21,40,4.375,3.25,1.75,33,8,TRUE
"F",21,40,4.25,3.625,2.25,33,8,TRUE
"F",21,47,3.875,3.625,2.08333333333333,25,10,TRUE
"F",26,23,3.375,2.5,2.83333333333333,18,4,FALSE
"F",25,31,4.5,1.875,2.83333333333333,22,9,TRUE
"F",26,27,3.625,2,2.41666666666667,17,6,FALSE
"M",21,41,3.625,1.875,2.25,25,8,TRUE
"F",22,34,3.5,2.625,2.33333333333333,0,10,FALSE
"F",23,34,3.5,4,2.83333333333333,28,10,TRUE
"F",22,25,3.75,2.875,2.25,22,5,FALSE
"F",22,21,1.625,3.875,1.83333333333333,26,2,FALSE
"F",22,14,3.625,2.5,2.91666666666667,11,5,FALSE
"F",23,19,4.5,2.75,2.91666666666667,29,4,FALSE
"M",22,37,4.375,4.5,2.08333333333333,22,8,TRUE
"M",25,41,4.75,3.5,2.66666666666667,0,10,FALSE
"M",23,32,4.875,3.375,2.33333333333333,21,6,TRUE
"M",24,28,2.875,2.625,2.41666666666667,28,7,TRUE
"F",22,41,3.125,4.125,2.75,33,8,TRUE
"F",23,25,4,2.625,3.25,16,8,FALSE
"M",22,28,4.375,2.25,1.75,31,4,TRUE
"M",20,38,3.75,2.75,2.58333333333333,22,6,TRUE
"M",22,31,3.375,3,3.33333333333333,31,6,TRUE
"M",21,35,4.75,1.625,2.83333333333333,23,10,TRUE
"F",22,36,4.375,1.875,2.5,26,9,TRUE
"F",23,26,4.25,3.375,2.41666666666667,12,5,FALSE
"M",21,44,4.75,3.75,2.41666666666667,26,10,TRUE
"M",22,45,3.5,2.125,2.58333333333333,31,10,TRUE
"M",29,32,3.625,2.375,3,19,4,FALSE
"F",26,20,3.375,1.75,2.33333333333333,0,6,FALSE
"F",29,39,3.625,2.75,2,30,10,TRUE
"F",21,25,3.5,3.125,3.41666666666667,12,8,FALSE
"M",28,33,3.625,3.5,2.83333333333333,17,8,FALSE
"M",23,35,4.125,1.625,3.41666666666667,0,9,FALSE
"F",21,33,4.25,2.625,2.25,18,9,FALSE
"F",30,30,4,3.375,2.75,19,6,FALSE
"F",21,29,4.125,2.25,3.91666666666667,21,8,FALSE
